Listening to port 4567
Connected!!!
0.1 6.12888 1.70336 0.00994677
0.1 6.3137 2.0361 0.319686
0.1 6.8514 1.96837 0.312149
0.1 7.48718 1.88829 0.306833
0.1 8.12086 2.41916 0.302996
0.1 8.22853 2.91537 0.310705
0.1 8.65278 3.11828 0.309432
0.1 9.04495 3.23932 0.318559
0.1 9.30959 2.95188 0.304233
0.1 9.68181 3.06317 0.298359
0.1 10.4792 2.95744 0.313241
0.1 10.9614 3.3368 0.306469
0.1 11.6658 3.83458 0.305759
0.1 12.178 3.69701 0.306675
0.1 12.6219 4.15565 0.309851
0.1 12.9305 4.292 0.302693
0.1 13.1747 4.07941 0.30738
0.1 13.8499 4.64158 0.303647
0.1 14.4823 4.6579 0.304112
0.1 14.5701 4.55165 0.293891
0.1 15.3141 4.66325 0.305006
0.1 16.3359 5.23268 0.28998
0.1 16.9239 4.97983 0.287288
0.1 17.606 5.82759 0.283707
0.1 18.1077 5.75778 0.278341
0.1 18.6311 5.32914 0.281797
0.1 19.4465 5.89318 0.269261
0.1 19.9072 5.72873 0.264604
0.1 20.3143 6.27154 0.265351
0.1 20.9578 6.41418 0.276215
0.1 21.3681 6.43432 0.26512
0.1 22.1262 6.41421 0.268971
0.1 22.7141 7.0542 0.272646
0.1 23.428 7.49539 0.265926
0.1 24.3225 7.76526 0.25411
0.1 25.3949 7.73534 0.246371
0.1 25.942 7.80057 0.234199
0.1 26.6987 8.10036 0.233235
0.1 27.2076 8.34926 0.226936
0.1 27.9032 8.45111 0.231272
0.1 28.9016 8.26955 0.229947
0.1 29.631 8.62302 0.226607
0.1 29.9891 8.64178 0.226014
0.1 30.605 8.54571 0.228064
0.1 31.5121 9.2693 0.219851
0.1 32.5954 8.9212 0.217418
0.1 33.4002 8.7969 0.215007
0.1 34.1799 8.8594 0.210576
0.1 35.2106 9.07016 0.197895
0.1 35.913 9.64907 0.185379
0.1 36.8609 10.0638 0.180814
0.1 37.336 10.4755 0.180612
0.1 37.9787 10.5261 0.196842
0.1 38.821 10.6142 0.193306
0.1 39.5187 10.7294 0.187227
0.1 40.9241 11.0073 0.194551
0.1 41.584 10.9923 0.187473
0.1 42.4691 11.012 0.181526
0.1 42.7988 11.1539 0.171506
0.1 44.2742 11.3033 0.170548
0.1 45.0088 11.3654 0.164353
0.1 46.173 11.6502 0.170184
0.1 47.1073 11.5814 0.163378
0.1 47.8663 12.0702 0.165666
0.1 49.0533 12.0763 0.153274
0.1 49.9928 12.181 0.14813
0.1 50.6475 12.6505 0.148805
0.1 51.4535 12.3293 0.149825
0.1 52.8407 13.0386 0.146662
0.1 54.0164 12.8786 0.128919
0.1 54.8479 13.4642 0.127489
0.1 55.4034 13.4375 0.121403
0.1 56.4391 13.5459 0.126963
0.1 57.3822 13.6785 0.130662
0.1 58.4104 13.5547 0.128031
0.1 59.6804 13.3672 0.13935
0.1 60.303 13.5476 0.121094
0.1 61.3126 13.8857 0.119511
0.1 62.5879 13.821 0.115586
0.1 63.5925 13.8915 0.107028
0.1 64.5583 14.4864 0.125874
0.1 65.8985 14.8472 0.109557
0.1 67.0381 14.9369 0.107409
0.1 68.0842 14.7617 0.105651
0.1 69.2518 14.662 0.114399
0.1 70.0389 14.7156 0.111092
0.1 70.8855 15.0322 0.104551
0.1 72.0812 14.887 0.0946196
0.1 73.1345 14.9484 0.102694
0.1 74.1069 15.173 0.119597
0.1 74.9611 15.2004 0.116561
0.1 76.0792 15.5882 0.1067
0.1 77.1383 15.4363 0.0979991
0.1 78.3969 15.6961 0.0989923
0.1 79.5804 16.3577 0.0927173
0.1 80.8839 15.4119 0.103112
0.1 82.1737 15.5874 0.0863941
0.1 83.2717 15.5501 0.0862256
0.1 84.3664 16.1235 0.0787953
0.1 85.3479 16.2847 0.0853318
0.1 86.3407 16.7551 0.0728678
0.1 87.4063 16.6603 0.0739044
0.1 88.5879 17.1541 0.0948178
0.1 89.8551 16.9858 0.092233
0.1 90.8731 16.782 0.0840244
0.1 92.0151 17.2001 0.0751128
0.1 93.1438 17.0416 0.0637857
0.1 94.4942 16.956 0.0845328
0.1 95.7397 17.0672 0.0675818
0.1 97.1535 17.2696 0.0639857
0.1 98.3045 17.2394 0.0561681
0.1 99.6269 17.1198 0.0692146
0.1 100.767 17.1586 0.068566
0.1 101.661 17.7904 0.0826108
0.1 102.76 17.588 0.0666997
0.1 103.887 17.7652 0.0812384
0.1 105.043 17.9728 0.0742381
0.1 106.515 17.9375 0.069214
0.1 107.213 17.9375 0.0697398
0.1 108.066 18.5136 0.0728359
0.1 109.327 18.508 0.0699484
0.1 110.652 18.5185 0.0702194
0.1 112.135 18.4235 0.0634742
0.1 113.627 18.7773 0.0587586
0.1 114.678 18.6305 0.0720655
0.1 116.058 19.0514 0.0796706
0.1 116.78 19.3554 0.0767706
0.1 118.246 19.2484 0.0871259
0.1 119.539 19.1071 0.0915414
0.1 120.548 19.2213 0.0813728
0.1 121.872 19.155 0.0793854
0.1 123.538 18.9213 0.0736676
0.1 124.781 19.455 0.0782256
0.1 125.825 19.4039 0.0840709
0.1 126.919 19.5189 0.0699436
0.1 128.189 19.3163 0.0698202
0.1 129.452 19.1704 0.0658107
0.1 130.496 19.1871 0.0693772
0.1 132.291 19.7468 0.0676455
0.1 133.514 19.9039 0.0759052
0.1 134.521 19.6961 0.079392
0.1 136.099 20.1805 0.0628748
0.1 137.458 19.9609 0.0679517
0.1 138.521 20.1628 0.0604027
0.1 139.922 20.3887 0.0798226
0.1 141.122 20.4212 0.0688938
0.1 142.34 20.7007 0.0608102
0.1 143.415 20.5916 0.070541
0.1 144.306 20.6566 0.0861812
0.1 145.698 20.8953 0.0796258
0.1 147.111 21.0066 0.0823208
0.1 148.418 21.2818 0.0821691
0.1 149.479 21.3984 0.0911241
0.1 150.532 21.2276 0.0867618
0.1 151.91 21.3894 0.0778696
0.1 153.298 21.6419 0.0928743
0.1 154.298 21.5113 0.079001
0.1 155.808 21.6382 0.0839104
0.1 157.203 21.8722 0.0859173
0.1 158.876 21.8909 0.0794572
0.1 160.181 21.7526 0.0817908
0.1 161.111 22.0146 0.0908199
0.1 162.513 21.9001 0.0866262
0.1 163.698 22.0786 0.084902
0.1 164.57 21.9519 0.076112
0.1 165.979 22.5096 0.0802213
0.1 167.136 22.6342 0.0601806
0.1 168.648 23.0551 0.0877812
0.1 169.794 22.8713 0.0790828
0.1 171.238 23.1665 0.0735019
0.1 172.763 23.0759 0.0618012
0.1 173.899 23.0288 0.0720722
0.1 175.684 23.1359 0.0743461
0.1 176.676 23.0715 0.0699259
0.1 178.315 23.412 0.0666404
0.1 179.805 23.3094 0.0605378
0.1 180.667 23.6496 0.0517547
0.1 182.108 23.6518 0.0453206
0.1 183.313 23.916 0.0571375
0.1 184.462 24.4656 0.0638602
0.1 185.595 24.2044 0.0601935
0.1 187.069 24.0075 0.0734172
0.1 188.348 23.83 0.0688111
0.1 189.352 23.7904 0.0732606
0.1 190.879 24.2309 0.080982
0.1 192.489 24.3819 0.0841562
0.1 193.567 24.6449 0.0810587
0.1 195.023 24.5847 0.0887827
0.1 196.112 24.5581 0.06271
0.1 197.389 24.5035 0.0623188
0.1 198.614 24.6394 0.0536314
0.1 200.324 24.6152 0.0656226
0.1 201.562 25.0076 0.0551188
0.1 203.178 25.0995 0.0599936
0.1 204.682 25.2056 0.0705011
0.1 205.472 25.0235 0.0726111
0.1 207.145 25.6217 0.078685
0.1 208.408 25.6206 0.0668685
0.1 209.528 25.7569 0.0668648
0.1 211.088 25.5329 0.0743877
0.1 212.303 25.9427 0.0665686
0.1 214.134 25.9226 0.0697188
0.1 215.36 26.4507 0.0679078
0.1 216.326 26.482 0.0732302
0.1 217.529 26.2393 0.0776392
0.1 218.872 26.592 0.0727429
0.1 220.266 26.2706 0.0712142
0.1 221.768 26.5386 0.0707167
0.1 223.052 26.5852 0.0707979
0.1 224.242 27.2525 0.0754182
0.1 225.269 27.4836 0.0838912
0.1 226.922 27.7418 0.0759605
0.1 228.334 27.4822 0.083868
0.1 229.75 27.5324 0.0824715
0.1 230.938 27.3344 0.0792386
0.1 232.179 27.3828 0.0656569
0.1 233.743 27.5517 0.0654462
0.1 234.927 27.6782 0.0722022
0.1 235.761 27.6468 0.0750284
0.1 236.644 27.7964 0.0762082
0.1 237.805 27.5662 0.0723084
0.1 239.116 27.9065 0.0723213
0.1 240.694 27.9045 0.0680292
0.1 241.983 28.0787 0.0618696
0.1 243.137 28.3288 0.0550148
0.1 244.019 28.763 0.0500754
0.1 245.579 29.2489 0.0469025
0.1 246.654 29.1674 0.0512293
0.1 247.615 29.057 0.0434324
0.1 248.739 28.8885 0.035921
0.1 249.743 28.954 0.0420189
0.1 250.655 28.6247 0.0432187
0.1 251.46 28.4161 0.0399022
0.1 252.143 28.5211 0.0465841
0.1 253.234 28.5726 0.0389449
0.1 254.541 28.8609 0.0295699
0.1 255.196 28.6096 0.0249045
0.1 256.324 28.5845 0.0113397
0.1 256.118 28.9121 6.26818
0.1 256.885 28.9061 6.25239
0.1 257.775 28.8026 6.2273
0.1 258.724 28.3905 6.2376
0.1 259.279 28.2217 6.21435
0.1 260.375 27.9402 6.19139
0.1 260.405 28.0219 6.17299
